('the',) : 188100
('soyuz-2.1a',) : 1
('above-described',) : 1
('federatsiya',) : 1
('resurs-p',) : 1
('resurs-dk',) : 1
('arktika-m',) : 1
('arktika-ms',) : 1
('arktika-r.',) : 1
('obzor-r',) : 1
('review-r',) : 1
('aesa',) : 1
('obzor-o',) : 1
('review-o',) : 1
('gonets',) : 1
('gonets-m',) : 1
('gonets-d1',) : 1
('foton-m4',) : 1
('gecko-f4',) : 1
('lizards’',) : 1
('procreate',) : 1
('vessel’s',) : 1
('blooded',) : 1
('reimburses',) : 1
('/ˈnæsə/',) : 1
('disestablishing',) : 1
('x-1',) : 1
('counseled',) : 1
('guyford',) : 1
('stever',) : 1
('43-year-old',) : 1
('1961–1968',) : 1
('1989–1992',) : 1
('nac',) : 1
('apollo-derived',) : 1
('1959–1968',) : 1
('xlr30',) : 1
('drop-launched',) : 1
('stratofortresses',) : 1
('nb52a',) : 1
('52-003',) : 1
('nb52b',) : 1
('52-008',) : 1
('6.72',) : 1
('4,519',) : 1
('7,273',) : 1
('354,200',) : 1
('107.96',) : 1
('1958–1963',) : 1
('soonest',) : 1
('22-orbit',) : 1
('single-pilot',) : 1
('andriyan',) : 1
('nikolayev',) : 1
('popovich',) : 1
('1961–1966',) : 1
('nikita',) : 1
('three-cosmonaut',) : 1
('1961–1972',) : 1
('381.7',) : 1
('moonwalk',) : 1
('1965–1979',) : 1
('169,950',) : 1
('77,088',) : 1
('235-nautical-mile',) : 1
('electricity-generating',) : 1
('11,290',) : 1
('1972–1975',) : 1
('kosygin',) : 1
('us–russian',) : 1
('1972–2011',) : 1
('launchable',) : 1
('185–643',) : 1
('115–400',) : 1
('24,400',) : 1
('1983–98',) : 1
('1995–1998',) : 1
('1993–present',) : 1
('7003621000000000000♠17',) : 1
('half-year-long',) : 1
('vehicle-specific',) : 1
('v1.1',) : 1
('bleo',) : 1
('saturn-v',) : 1
('mid-2030s',) : 1
('eft-1',) : 1
('mission-1',) : 1
('em-1',) : 1
('em-2',) : 1
('em-3',) : 1
('darpa',) : 1
('x-planes',) : 1
('nautilus-x',) : 1
('nextstep',) : 1
('abma/jpl',) : 1
('trans-pluto',) : 1
('1989–2003',) : 1
('1997–2017',) : 1
('2011–',) : 1
('human-rated',) : 1
('mpcv',) : 1
('jwst',) : 1
('pre-recorded',) : 1
('mmrtg',) : 1
('doodle',) : 1
('11—18',) : 1
('kalam',) : 1
('concur',) : 1
('jpl',) : 1
('cruces',) : 1
('barstow',) : 1
('degrasse',) : 1
('tyson',) : 1
('that—a',) : 1
('dollar—we',) : 1
('sullen',) : 1
('dispirited',) : 1
('weary',) : 1
('birthright',) : 1
('18.01',) : 1
('congress—',) : 1
('802,620,000',) : 1
('3.0382×109',) : 1
('lox-',) : 1
('lh2-',) : 1
('xenon',) : 1
('facilities—the',) : 1
('yuriyevich',) : 1
('sasha',) : 1
('александр',) : 1
('юрьевич',) : 1
('калери',) : 1
('jūrmala',) : 1
('svetlana',) : 1
('nosova',) : 1
('aleksandrovich',) : 1
('antonina',) : 1
('petrovna',) : 1
('borisovich',) : 1
('dolgoprudny',) : 1
('mir-3',) : 1
('mir-9',) : 1
('mir-11',) : 1
('145-day',) : 1
('soyuz-tm-14',) : 1
('197-days',) : 1
('soyuz-tm-24',) : 1
('mir-22',) : 1
('soyuz-tm-30',) : 1
('mir-28',) : 1
('00:11',) : 1
('00:01',) : 1
('biometric',) : 1
('13:50',) : 1
('20:28',) : 1
('transceiver',) : 1
('glue',) : 1
('airtight',) : 1
('sealant',) : 1
('imitating',) : 1
('m1-2',) : 1
('4:17',) : 1
('visor',) : 1
('17°',) : 1
('44°',) : 1
('34°',) : 1
('150°',) : 1
('impact-generated',) : 1
('circumplanetary',) : 1
("'inclination",) : 1
('radial-velocity',) : 1
('face-on',) : 1
('superjovians',) : 1
('33636',) : 1
('m6v',) : 1
('9.28',) : 1
('z-component',) : 1
('11.86',) : 1
('79.91',) : 1
('vρ',) : 1
('4/3πa3ρ',) : 1
('5,515',) : 1
('sun-synodic',) : 1
('1.2648',) : 1
('1.2624',) : 1
('1322',) : 1
('747.',) : 1
('post-apollo',) : 1
('three-decade',) : 1
('d2—sponsored',) : 1
('sl-j',) : 1
('single-stage',) : 1
('17,500',) : 1
('jettisoning',) : 1
('sts-4',) : 1
('50,045',) : 1
('22,700',) : 1
('aerobraking',) : 1
('fly-by-wire-controlled',) : 1
('actuated',) : 1
('conceptualization',) : 1
('dornberger',) : 1
('x-series',) : 1
('hl-10',) : 1
('hl',) : 1
('rfp',) : 1
('x-24b',) : 1
('shuttle—the',) : 1
('maxime',) : 1
('faget',) : 1
('cross-range',) : 1
('once-around',) : 1
('1,085',) : 1
('2,009',) : 1
('1,249',) : 1
('ovs',) : 1
('ov-101',) : 1
('sta-099',) : 1
('d2',) : 1
('oberpfaffenhofen',) : 1
('double-delta',) : 1
('81°',) : 1
('elevons',) : 1
('rudder/speed',) : 1
('kh-9',) : 1
('hexagon',) : 1
('mostly-symmetrical',) : 1
('rougher',) : 1
('dampens',) : 1
('tos-21',) : 1
('—pallets',) : 1
('ips',) : 1
('srtm',) : 1
('spacelab-1',) : 1
('pid',) : 1
('32-bit',) : 1
('fail-operational/fail-safe',) : 1
('two-two',) : 1
('four-computer',) : 1
('avionic',) : 1
('hal/s',) : 1
('pl/i',) : 1
('kilobytes',) : 1
('ap-101s',) : 1
('megabyte',) : 1
('spoc',) : 1
('location-specific',) : 1
('unmatched',) : 1
('sts-61-c',) : 1
('1986–88',) : 1
('sts-93',) : 1
('left-justified',) : 1
('full-color',) : 1
('flat-panel',) : 1
('rescaled',) : 1
('maintainability',) : 1
('sts-6',) : 1
('2195',) : 1
('aluminum-lithium',) : 1
('better-performing',) : 1
('asrb',) : 1
('single-piece',) : 1
('filament-wound',) : 1
('sts-70',) : 1
('bored',) : 1
('jeopardize',) : 1
('cargo-only',) : 1
('shuttle-c',) : 1
('re-usability',) : 1
('sts-5',) : 1
('nomex',) : 1
('less-bulky',) : 1
('npr8715.5',) : 1
('yero',) : 1
('sequencer',) : 1
('sps',) : 1
('drench',) : 1
('acoustical',) : 1
('igniters',) : 1
('overpressure',) : 1
('reciprocated',) : 1
('rsls',) : 1
('t+0.23',) : 1
('t+0.6',) : 1
('27,650',) : 1
('down—usually',) : 1
('varied—to',) : 1
('q.',) : 1
('t+126',) : 1
('m/s²',) : 1
('ft/s²',) : 1
('800mm',) : 1
('4–10',) : 1
('400-inch',) : 1
('200-inch',) : 1
('playalinda',) : 1
('pafb',) : 1
('hdnet',) : 1
('weibel',) : 1
('wb-57',) : 1
('nasa/esa',) : 1
('flatten-out',) : 1
("'hottest",) : 1
('heat-shield',) : 1
('glowed',) : 1
('ratio/lift-to-drag',) : 1
('1:1',) : 1
('4.5:1',) : 1
('fpm',) : 1
('touch-down',) : 1
('post-landing',) : 1
('monomethylhydrazine',) : 1
('45–60',) : 1
('disembarking',) : 1
('tow-way',) : 1
('months-long',) : 1
('spra',) : 1
('voicing',) : 1
('o-rings',) : 1
('suffredini',) : 1
('astronauts—christopher',) : 1
('5:57',) : 1
('09:57',) : 1
('sea-air-space',) : 1
('replicas',) : 1
('mockup',) : 1
('starke',) : 1
('2004–2010',) : 1
('moonraker',) : 1
('activision',) : 1
('videogame',) : 1
('stine',) : 1
('moontrap',) : 1
('eastwood',) : 1
('indian-american',) : 1
('kc',) : 1
('1997–2007',) : 1
('stargate',) : 1
('sg-1',) : 1
('sts-157',) : 1
('batmobile',) : 1
('3367',) : 1
('weapon-equipped',) : 1
('legoland',) : 1
('zaccaria',) : 1
('flightgear',) : 1
('x-plane',) : 1
('commemorations',) : 1
('lc-39-a',) : 1
('suitcase-sized',) : 1
('6-to-10-inch',) : 1
('1,626',) : 1
('727',) : 1
('three-foot',) : 1
('one-meter',) : 1
('casting-in-place',) : 1
('sts-32',) : 1
('sts-50',) : 1
('normalization',) : 1
('deviance',) : 1
('sociologist',) : 1
('srb-et',) : 1
('sts-52',) : 1
('protuberance',) : 1
('large-area',) : 1
('foams',) : 1
('risk-management',) : 1
('thoroughness',) : 1
('what-if',) : 1
('singled',) : 1
('harpold',) : 1
('tile-damage',) : 1
('damage-prediction',) : 1
('spray-on',) : 1
('stich',) : 1
('orients',) : 1
('single-page-of-information',) : 1
('9:16',) : 1
('frantically',) : 1
('pummeled',) : 1
('cerebral',) : 1
('femur',) : 1
('19:04',) : 1
('.our',) : 1
('searchers',) : 1
('largest-ever',) : 1
('shuttle’s',) : 1
('ciannilli',) : 1
('people.”',) : 1
('petri',) : 1
('cassie',) : 1
('conley',) : 1
('mier',) : 1
('krenek',) : 1
('ebay',) : 1
('columbia-related',) : 1
('prsd',) : 1
('videotape',) : 1
('joking',) : 1
('flight-deck',) : 1
('sts-27',) : 1
('retrained',) : 1
('ablating',) : 1
('superlightweight',) : 1
('freon-free',) : 1
('bx-250',) : 1
('gehman',) : 1
('after-crash',) : 1
('oex',) : 1
('test-flights',) : 1
('fiberglass',) : 1
('risk-assessment',) : 1
('mission-compromising',) : 1
('scsiit',) : 1
('resiliency',) : 1
('scavenged',) : 1
('water-filled',) : 1
('burn-through',) : 1
('patched-up',) : 1
('noites',) : 1
('traicoeiras',) : 1
('pitches',) : 1
('xxxviii',) : 1
('pregame',) : 1
('groban',) : 1
('post-columbia',) : 1
('posthumous',) : 1
('palomar',) : 1
('51823',) : 1
('rickhusband',) : 1
('51824',) : 1
('mikeanderson',) : 1
('51825',) : 1
('davidbrown',) : 1
('51826',) : 1
('kalpanachawla',) : 1
('51827',) : 1
('laurelclark',) : 1
('51828',) : 1
('ilanramon',) : 1
('51829',) : 1
('williemccool',) : 1
('sangre',) : 1
('metsat-1',) : 1
('india-born',) : 1
('roybal-allard',) : 1
('downey',) : 1
('supercomputing',) : 1
('moffett',) : 1
('lubbock',) : 1
('hasharon',) : 1
('colles',) : 1
('starship',) : 1
('russian-manned',) : 1
('10:39',) : 1
('2:37:55',) : 1
('5-inch',) : 1
('9:14:43',) : 1
('glitches',) : 1
('graceful',) : 1
('five-second',) : 1
('purplish',) : 1
('long-exposure',) : 1
('faber',) : 1
('callie',) : 1
('songwriter/singer',) : 1
('musing',) : 1
('hrishikesh',) : 1
('hirway',) : 1
('exploder',) : 1
('evpatoria',) : 1
('taijin',) : 1
('kyofusho',) : 1
('golevka',) : 1
('akiko',) : 1
('suwanai',) : 1
('boulez',) : 1
('kopatchinskaja',) : 1
('folk-rock',) : 1
('runrig',) : 1
('agence',) : 1
('spatiale',) : 1
('européenne',) : 1
('ase',) : 1
('europäische',) : 1
('weltraumorganisation',) : 1
('€5.25',) : 1
('5.77',) : 1
('harrie',) : 1
('cos-b',) : 1
('iue',) : 1
('high-orbit',) : 1
('giotto',) : 1
('grigg–skjellerup',) : 1
('star-mapping',) : 1
('smart-1',) : 1
('astronomy-space',) : 1
('extra-solar',) : 1
('2003-2015',) : 1
('€3.0',) : 1
('€3.6',) : 1
('€3.7',) : 1
('€3.99',) : 1
('€4.02',) : 1
('€4.28',) : 1
('€4.10',) : 1
('€4.33',) : 1
('deliberative',) : 1
('2010-12-15',) : 1
('€6,059,449.00',) : 1
('8,559,050',) : 1
('€21,600,000',) : 1
('30,000,000',) : 1
('€5.250',) : 1
('organisationally',) : 1
('€2015',) : 1
('€755',) : 1
('21/22',) : 1
('procurements',) : 1
('“concrete',) : 1
('stage”',) : 1
('“prospects',) : 1
('existing”',) : 1
('non-esa',) : 1
("'push",) : 1
('eca',) : 1
('mid-life',) : 1
('soyuz-st',) : 1
('soyuz-stk',) : 1
('€340',) : 1
('rocket—which',) : 1
('years—is',) : 1
('23,222',) : 1
('avum',) : 1
('multiyear',) : 1
('workshare',) : 1
('mirosław',) : 1
('hermaszewski',) : 1
('jähn',) : 1
('non-communist',) : 1
('european-built',) : 1
('esa/nasa',) : 1
('8,413',) : 1
('192.',) : 1
('mini-shuttle',) : 1
('pre-development',) : 1
('russian-designed',) : 1
('€50',) : 1
('astrium',) : 1
('€21',) : 1
('dc4eu',) : 1
('europeanized',) : 1
('chandrayan',) : 1
('non-eu',) : 1
('organising',) : 1
('reinforces',) : 1
('guidoni',) : 1
('eu-esa',) : 1
('nasa-esa',) : 1
('marcopolo-r',) : 1
('chandrayaan-1',) : 1
('bepicolombo',) : 1
('spazio',) : 1
('€8',) : 1
('7,667',) : 1
('16,903',) : 1
('europe’s',) : 1
('eu/esa',) : 1
('ec’s',) : 1
('hspg',) : 1
('guaranteeing',) : 1
('esa’s',) : 1
('48°50′54″n',) : 1
('2°18′15″e\ufeff',) : 1
('\ufeff48.8482°n',) : 1
('2.3042°e\ufeff',) : 1
('48.8482',) : 1
('2.3042',) : 1
('gmv',) : 1
('esa/spain',) : 1
('misión',) : 1
('técnica',) : 1
('ingenieros',) : 1
('aeronáuticos',) : 1
('11p',) : 1
('11:14:53',) : 1
('19:41:44',) : 1
('11:26',) : 1
('12:38:49',) : 1
('12p',) : 1
('01:47:59',) : 1
('03:40:45',) : 1
('08:35:56',) : 1
('m1-11',) : 1
('13:11',) : 1
('13:57:12',) : 1
('长征系列运载火箭',) : 1
('長征系列運載火箭',) : 1
('chángzhēng',) : 1
('xìliè',) : 1
('yùnzài',) : 1
('huǒjiàn',) : 1
('lm-',) : 1
('cz-',) : 1
('2e',) : 1
("'clean",) : 1
('loral',) : 1
('palapa-d',) : 1
('cz-3b',) : 1
('cz-3b/e',) : 1
('spin-stabilized',) : 1
('yf-73',) : 1
('yf-75',) : 1
('sso',) : 1
('lm-9',) : 1
('长征九号',) : 1
('super-heavy',) : 1
('three-staged',) : 1
('liquid-fuel',) : 1
('cz-9a',) : 1
('cz-9b',) : 1
('irbm',) : 1
('df-4',) : 1
('df-5',) : 1
('small-to-mid',) : 1
('wenchang',) : 1
('gansu',) : 1
('shanxi',) : 1
('chinasat-6b',) : 1
('itar',) : 1
('vrss-1',) : 1
('神舟五号',) : 1
('神舟五號',) : 1
('shénzhōu',) : 1
('wǔ',) : 1
('hào',) : 1
('devoting',) : 1
('surmount',) : 1
('junichiro',) : 1
('applaud',) : 1
('kwangmyŏngsŏng-1',) : 1
('fédération',) : 1
('aéronautique',) : 1
('fai',) : 1
('cernan',) : 1
('binnie',) : 1
('558',) : 1
('41,790',) : 1
('114.5',) : 1
('man-years',) : 1
('astronaut-days',) : 1
('anglicizes',) : 1
('ástron',) : 1
('navigateurs',) : 1
("l'infini",) : 1
('j.-h.',) : 1
('rosny',) : 1
('aîné',) : 1
('astronautique',) : 1
('astronautic',) : 1
('balloonists',) : 1
('kəsmɐˈnaft',) : 1
('kosmonauta',) : 1
('tikhonravov',) : 1
('1900–1974',) : 1
('yǔ',) : 1
('宇航员',) : 1
('tiān',) : 1
('航天员',) : 1
('tài',) : 1
('kōng',) : 1
('rén',) : 1
('太空人',) : 1
('spaceman',) : 1
('taikonaut',) : 1
('longman',) : 1
('taikong',) : 1
('naut',) : 1
('chiew',) : 1
('yih',) : 1
('趙裡昱',) : 1
('newsgroups',) : 1
('spationaut',) : 1
('spationaute',) : 1
('spatium',) : 1
('vyomanauts',) : 1
('jemison',) : 1
('sts-47',) : 1
('leonov',) : 1
('asian-born',) : 1
('soviet-allied',) : 1
('pham',) : 1
('tuan',) : 1
('guion',) : 1
('bluford',) : 1
('baudry',) : 1
('salman',) : 1
('al-saud',) : 1
('non-us',) : 1
('mexican-born',) : 1
('sharman',) : 1
('shuttleworth',) : 1
('gherman',) : 1
('chang-diaz',) : 1
('401,056',) : 1
('249,205',) : 1
('swigert',) : 1
('haise',) : 1
('honorarily',) : 1
('feoktistov',) : 1
('yegorov',) : 1
('lichtenberg',) : 1
('toyohiro',) : 1
('tm-3',) : 1
('15p',) : 1
('astronauts-in-training',) : 1
('kc-135s',) : 1
('c-9',) : 1
('metcalf-lindenburger',) : 1
('barotrauma',) : 1
('immunodeficiencies',) : 1
('eyesight',) : 1
('intolerance',) : 1
('non-expert',) : 1
('salmonella',) : 1
('typhimurium',) : 1
('virulent',) : 1
('near-weightlessness',) : 1
('nasa-supported',) : 1
('intracranial',) : 1
('viip',) : 1
('0.83',) : 1
('nutritionists',) : 1
('dietician',) : 1
('basal',) : 1
('lapel',) : 1
('then-classified',) : 1
('杨利伟',) : 1
('楊利偉',) : 1
('suizhong',) : 1
('huludao',) : 1
('liaoning',) : 1
('accountant',) : 1
('空军第2飞行学院',) : 1
('apparition',) : 1
('uncomfortable',) : 1
('cz-2f',) : 1
('shenzhou-6',) : 1
('condition—variations',) : 1
('kung',) : 1
('pao',) : 1
('waving',) : 1
('bleeding',) : 1
('shanghai-born',) : 1
('sts-51-b',) : 1
('21-hour',) : 1
('21064',) : 1
('yangliwei',) : 1
('dalingheornis',) : 1
('liweii',) : 1
('iss-2a.2b',) : 1
('seven-man',) : 1
('m-1',) : 1
('shakedown',) : 1
('tethers',) : 1
('deftly',) : 1
('u.s.-russian',) : 1
('cmdr.',) : 1
('100-pound',) : 1
('11:46',) : 1
('double-loop',) : 1
('flyaround',) : 1
('2:56',) : 1
('180-day',) : 1
('three-week-long',) : 1
('07:52',) : 1
('09:21',) : 1
('space-to-ground',) : 1
('downlinks',) : 1
('ivins',) : 1
('endure',) : 1
('wetherbee',) : 1
('half-month',) : 1
('bio-needs',) : 1
('uplinked',) : 1
('tvis',) : 1
('ired',) : 1
('weight-lifting',) : 1
('regul',) : 1
('comm',) : 1
("'ham",) : 1
('pke-nefedov',) : 1
('popocatépetl',) : 1
('low-maintenance',) : 1
('low-calorie',) : 1
('sweetener',) : 1
('thaumatin',) : 1
('diffracted',) : 1
('earth-grown',) : 1
('shaving',) : 1
('sts-54',) : 1
('sts-64',) : 1
('sts-78',) : 1
('sts-44',) : 1
('sts-53',) : 1
('sts-69',) : 1
('iss-2s',) : 1
('ep-4',) : 1
('kavandi',) : 1
('mks',) : 1
('colloids',) : 1
('colloid',) : 1
('videoed',) : 1
('science-intensive',) : 1
('117-day',) : 1
('seat-liners',) : 1
('ufos',) : 1
('minefield',) : 1
('tempel-tuttle',) : 1
('unforgettable',) : 1
('them—the',) : 1
('station—saw',) : 1
('billowing',) : 1
('wtc',) : 1
('20:03',) : 1
('onufrienko',) : 1
('bursch',) : 1
('walz',) : 1
('34—nine',) : 1
('shuttle-based—that',) : 1
('2000-2001.',) : 1
('184-day',) : 1
('treshchev',) : 1
('ev1',) : 1
('ev2',) : 1
('4:56',) : 1
('2156',) : 1
('5:10',) : 1
('2210',) : 1
('4:19',) : 1
('2119',) : 1
('9:59',) : 1
('0259',) : 1
('rpcm',) : 1
('1:58',) : 1
('0658',) : 1
('6:28',) : 1
('1128',) : 1
('videometer',) : 1
('16:43',) : 1
('22:04',) : 1
('tether',) : 1
('fairleads',) : 1
('outspread',) : 1
('sts-51l',) : 1
('onizuka',) : 1
('jarvis',) : 1
('resnik',) : 1
('georgi',) : 1
('dobrovolski',) : 1
('patsayev',) : 1
('4.100',) : 1
('747.593',) : 1
('624.387',) : 1
('123rd',) : 1
('p18',) : 1
('p19',) : 1
('19:02',) : 1
('3:02',) : 1
('4-hour',) : 1
('58-minute',) : 1
('mpac',) : 1
('matroska',) : 1
('dosimeters',) : 1
('human-tissue-equivalent',) : 1
('korma',) : 1
('contamination-exposure',) : 1
('olsen',) : 1
('tokarev',) : 1
('suitsat-1',) : 1
('arrowhead',) : 1
('anaheim',) : 1
('nine-day',) : 1
('19:13',) : 1
('23:48',) : 1
('06:19',) : 1
('oxygen-producing',) : 1
('19:58',) : 1
('fpmu',) : 1
('spool',) : 1
('handcart',) : 1
('pma-1',) : 1
('04:09',) : 1
('12:31:30',) : 1
('04:10',) : 1
('05:21',) : 1
('warmly',) : 1
('seat-liner',) : 1
('contrail',) : 1
('19:17',) : 1
('kinked',) : 1
('toronto-based',) : 1
('scandium',) : 1
('one-handed',) : 1
('stabilising',) : 1
('e21',) : 1
('screwdriver',) : 1
('latch',) : 1
('characterises',) : 1
('00:55',) : 1
('5-hour',) : 1
('38-minute',) : 1
('hand-operated',) : 1
('recordholder',) : 1
('s5',) : 1
('melroy',) : 1
('levity',) : 1
('quizzing',) : 1
('lopez-alegria',) : 1
('trivia',) : 1
('port-side',) : 1
('16-minute',) : 1
('s4',) : 1
('jules-verne',) : 1
('tma-13',) : 1
('salizhan',) : 1
('16:38',) : 1
('11:49',) : 1
('underpants',) : 1
('underwear',) : 1
('thirsk',) : 1
('tma-17',) : 1
('maksim',) : 1
('мкс-23',) : 1
('00:04',) : 1
('rasvet',) : 1
('re-planned',) : 1
('awoken',) : 1
('re-powering',) : 1
('capcomm',) : 1
('micro-switch',) : 1
('17p32-5',) : 1
('rail-car',) : 1
('sprut-2',) : 1
('uhf-radiometry',) : 1
('viru',) : 1
('40p',) : 1
('15:11:50',) : 1
('16:36',) : 1
('tma-19',) : 1
('magistra',) : 1
('antonella',) : 1
('pezzani',) : 1
('eva-27',) : 1
('eva-28',) : 1
('15:29',) : 1
('15:46',) : 1
('03:09',) : 1
('23:09',) : 1
('2:13',) : 1
('11:41',) : 1
('radar-progress',) : 1
('5,880',) : 1
('1,444',) : 1
('3,180',) : 1
('14:19',) : 1
('second-to-the-last',) : 1
('12:56',) : 1
('ams-2',) : 1
('02:27',) : 1
('21:35',) : 1
('2:27',) : 1
('feustel',) : 1
('6:34',) : 1
('20:12',) : 1
('21:22',) : 1
('22:44',) : 1
('cet',) : 1
('42p',) : 1
('sts-135—final',) : 1
('15:07',) : 1
('00:38',) : 1
('03:59',) : 1
('m-12m',) : 1
('5:19',) : 1
('250-kilometre',) : 1
('5:24',) : 1
('soft-landed',) : 1
('2:26',) : 1
('28/29',) : 1
('29/30',) : 1
('05:24',) : 1
('five-and-a-half',) : 1
('30/31',) : 1
('13:16',) : 1
('15:19',) : 1
('c/2011',) : 1
('w3',) : 1
('90-year-old',) : 1
('on-stage',) : 1
('6,595',) : 1
('14,539',) : 1
('whereafter',) : 1
('m-14m',) : 1
('revin',) : 1
('4:36',) : 1
('1,199',) : 1
('1,460',) : 1
('spx-1',) : 1
('wolowitz',) : 1
('6:53am',) : 1
('delay-tolerant',) : 1
('tma-05m',) : 1
('robonaut',) : 1
('rendition',) : 1
('spaceshot',) : 1
('yaping',) : 1
('re-pressurizing',) : 1
('1-hour',) : 1
('re-pressurization',) : 1
('iss-crew',) : 1
('veggie',) : 1
('four-orbit',) : 1
('3:52',) : 1
('slip',) : 1
('harmony’s',) : 1
('boeing’s',) : 1
('spacex’s',) : 1
('isspresso',) : 1
('gazprom',) : 1
('44.',) : 1
('42/43',) : 1
('tma-16m',) : 1
('43.',) : 1
('lindgren',) : 1
('m-28m',) : 1
('sandringham',) : 1
('12:55',) : 1
('ssu',) : 1
('gorilla',) : 1
('yakety',) : 1
('sax',) : 1
('brit',) : 1
('aleksey',) : 1
('ovchinin',) : 1
('01:36',) : 1
('rubins',) : 1
('takuya',) : 1
('onishi',) : 1
('48.',) : 1
('49.',) : 1
('50/51',) : 1
('micro-gravity',) : 1
('christmas-time',) : 1
('bresnik',) : 1
('53/54',) : 1
('ov‑104',) : 1
('sts-335',) : 1
('4,848',) : 1
('126,000,000',) : 1
('203,000,000',) : 1
('two-masted',) : 1
('sts-34',) : 1
('sts-37',) : 1
('shuttle-russian',) : 1
('p3/p4',) : 1
('tacan',) : 1
('afrsi',) : 1
('frsi',) : 1
('lighten',) : 1
('omdp',) : 1
('uneconomical',) : 1
('near-flight',) : 1
('hulk',) : 1
('64,000-square-foot',) : 1
('nikolai',) : 1
('strekalov',) : 1
('frimout',) : 1
('sts-46',) : 1
('nicollier',) : 1
('malerba',) : 1
('massimino',) : 1
('february/march',) : 1
('copv',) : 1
('copvs',) : 1
('dashboard',) : 1
('as-is',) : 1
('6-month',) : 1
('pane',) : 1
('defect',) : 1
('reportable',) : 1
('0.0015',) : 1
('pane’s',) : 1
('capshaw',) : 1
('lea',) : 1
('skerritt',) : 1
('soulvizion',) : 1
('ulf4',) : 1
('sts-335/sts-135',) : 1
('astrotech',) : 1
('pvgf',) : 1
('dettwiler',) : 1
('mda',) : 1
('2,645',) : 1
('icc–vld',) : 1
('8,330',) : 1
('2,933',) : 1
('6,466',) : 1
('ofk',) : 1
('dumesnil',) : 1
('sundstrand',) : 1
('cain',) : 1
('casper',) : 1
('4-inch',) : 1
('sarafin',) : 1
('900-mile',) : 1
('pegasus',) : 1
('offloaded',) : 1
('opf-1',) : 1
('iprs',) : 1
('cargo-carrying',) : 1
('23:31',) : 1
('6:03',) : 1
('peeling',) : 1
('awakened',) : 1
('agency-wide',) : 1
('14:20',) : 1
('pod',) : 1
('re-installed',) : 1
('braided',) : 1
('hypergolics',) : 1
('steers',) : 1
('talon',) : 1
('18:49',) : 1
('ticking',) : 1
('t-43',) : 1
('l-2',) : 1
('18-minute-long',) : 1
('moron',) : 1
('istres',) : 1
('04:15',) : 1
('07:56',) : 1
('suiting',) : 1
('ingressed',) : 1
('pressurizing',) : 1
('18:20',) : 1
('diller',) : 1
('conformed',) : 1
('8:47',) : 1
('nc-1',) : 1
('alexey',) : 1
('ex-apollo',) : 1
('ivanov',) : 1
('srms',) : 1
('downlinking',) : 1
('08:20',) : 1
('ldri',) : 1
('itvc',) : 1
('snagged',) : 1
('less-capable',) : 1
('center-line',) : 1
('middeck',) : 1
('10-second',) : 1
('nc-2',) : 1
('8-second',) : 1
('nc-3',) : 1
('07:20',) : 1
('1-minute-24-second-long',) : 1
('212-by-145',) : 1
('63-second',) : 1
('circularization',) : 1
('214-by-210-mile',) : 1
('11:40',) : 1
('12-second',) : 1
('13:26',) : 1
('400mm',) : 1
('800mm-lens',) : 1
('14:28',) : 1
('reoriented',) : 1
('mmod',) : 1
('16:18',) : 1
('23/24',) : 1
('crewlock',) : 1
('wakeup',) : 1
('dexterous',) : 1
('spdm',) : 1
('suit-up',) : 1
('intravehicular',) : 1
('safeing',) : 1
('19:19',) : 1
('237th',) : 1
('144th',) : 1
('09:49',) : 1
("'contact",) : 1
('17:20',) : 1
('msnbc',) : 1
('workday',) : 1
('10:38',) : 1
('wiggle',) : 1
('antenna-mast',) : 1
('238th',) : 1
('145th',) : 1
('filings',) : 1
('12:25',) : 1
('lonnie',) : 1
('schmitt',) : 1
('jumpers',) : 1
('p4/p5',) : 1
('retrieving',) : 1
('toolbox',) : 1
('4:30',) : 1
('5:50',) : 1
('elementary-',) : 1
('11:05',) : 1
('sts-132/expedition',) : 1
('15:22',) : 1
('09:50',) : 1
('11:17',) : 1
('day-before-landing',) : 1
('hot-fire',) : 1
('1:40',) : 1
('5:40',) : 1
('wews-tv',) : 1
('4:20',) : 1
('9:01',) : 1
('11:42',) : 1
('11:45.',) : 1
('12:16.',) : 1
('12:23',) : 1
('s-rolls',) : 1
('12:29',) : 1
('12:34',) : 1
('9,200',) : 1
('12:39',) : 1
('12:44',) : 1
('50,000-foot',) : 1
('08:48:11',) : 1
('08:48:21',) : 1
('08:49:18',) : 1
('12:49:18',) : 1
('7,724,851',) : 1
('4,800,000',) : 1
('276.',) : 1
('spares',) : 1
('a-16',) : 1
('3-digit',) : 1
('incrementing',) : 1
('3-letter',) : 1
('1990-037a',) : 1
('sts-31',) : 1
('1990-037b',) : 1
('subsumed',) : 1
('1963-001b',) : 1
('anachronistically',) : 1
('1957-001a',) : 1
('1957-001b',) : 1
('42,900',) : 1
('letters—and',) : 1
('signal—or',) : 1
('cryptographically',) : 1
('radiotelegraph',) : 1
('one-letter',) : 1
('3lxy',) : 1
('3lxy2',) : 1
('american-flagged',) : 1
('kx0983',) : 1
('wxx0029',) : 1
('47021',) : 1
('n-number',) : 1
('n978cp',) : 1
('november-niner-seven-eight-charlie-papa',) : 1
('towered',) : 1
('skyhawk',) : 1
('eight-charlie-papa',) : 1
('five-letter',) : 1
('c–f',) : 1
('c–g',) : 1
